INFO     | 2019-02-27 17:17:41,409 | progress   | Finished subset 139/211, 65.88 percent done
INFO     | 2019-02-27 17:17:43,561 | progress   | Finished subset 140/211, 66.35 percent done
INFO     | 2019-02-27 17:17:45,904 | progress   | Finished subset 141/211, 66.82 percent done
INFO     | 2019-02-27 17:17:48,526 | progress   | Finished subset 142/211, 67.30 percent done
INFO     | 2019-02-27 17:17:52,720 | progress   | Finished subset 143/211, 67.77 percent done
INFO     | 2019-02-27 17:18:05,309 | progress   | Finished subset 144/211, 68.25 percent done
INFO     | 2019-02-27 17:18:08,806 | progress   | Finished subset 145/211, 68.72 percent done
INFO     | 2019-02-27 17:18:08,913 | method     | ***Greedy algorithm step 4***
INFO     | 2019-02-27 17:18:11,721 | progress   | Finished subset 146/211, 69.19 percent done
INFO     | 2019-02-27 17:18:14,451 | progress   | Finished subset 147/211, 69.67 percent done
INFO     | 2019-02-27 17:18:17,096 | progress   | Finished subset 148/211, 70.14 percent done
INFO     | 2019-02-27 17:18:22,771 | progress   | Finished subset 149/211, 70.62 percent done
INFO     | 2019-02-27 17:18:24,761 | progress   | Finished subset 150/211, 71.09 percent done
INFO     | 2019-02-27 17:18:27,050 | progress   | Finished subset 151/211, 71.56 percent done
INFO     | 2019-02-27 17:18:30,129 | progress   | Finished subset 152/211, 72.04 percent done
INFO     | 2019-02-27 17:18:32,182 | progress   | Finished subset 153/211, 72.51 percent done
INFO     | 2019-02-27 17:18:37,517 | progress   | Finished subset 154/211, 72.99 percent done
INFO     | 2019-02-27 17:18:55,481 | progress   | Finished subset 155/211, 73.46 percent done
INFO     | 2019-02-27 17:19:05,284 | progress   | Finished subset 156/211, 73.93 percent done
INFO     | 2019-02-27 17:19:05,632 | method     | ***Greedy algorithm step 5***
INFO     | 2019-02-27 17:19:21,847 | progress   | Finished subset 157/211, 74.41 percent done
INFO     | 2019-02-27 17:19:25,955 | progress   | Finished subset 158/211, 74.88 percent done
INFO     | 2019-02-27 17:19:49,950 | progress   | Finished subset 159/211, 75.36 percent done
INFO     | 2019-02-27 17:19:53,083 | progress   | Finished subset 160/211, 75.83 percent done
INFO     | 2019-02-27 17:19:55,564 | progress   | Finished subset 161/211, 76.30 percent done
INFO     | 2019-02-27 17:19:58,935 | progress   | Finished subset 162/211, 76.78 percent done
INFO     | 2019-02-27 17:20:02,451 | progress   | Finished subset 163/211, 77.25 percent done
INFO     | 2019-02-27 17:20:07,783 | progress   | Finished subset 164/211, 77.73 percent done
INFO     | 2019-02-27 17:20:17,943 | progress   | Finished subset 165/211, 78.20 percent done
INFO     | 2019-02-27 17:20:23,340 | progress   | Finished subset 166/211, 78.67 percent done
INFO     | 2019-02-27 17:20:23,469 | method     | ***Greedy algorithm step 6***
INFO     | 2019-02-27 17:20:26,516 | progress   | Finished subset 167/211, 79.15 percent done
INFO     | 2019-02-27 17:20:29,556 | progress   | Finished subset 168/211, 79.62 percent done
INFO     | 2019-02-27 17:20:32,350 | progress   | Finished subset 169/211, 80.09 percent done
INFO     | 2019-02-27 17:20:36,584 | progress   | Finished subset 170/211, 80.57 percent done
INFO     | 2019-02-27 17:20:40,496 | progress   | Finished subset 171/211, 81.04 percent done
INFO     | 2019-02-27 17:20:45,974 | progress   | Finished subset 172/211, 81.52 percent done
INFO     | 2019-02-27 17:20:50,303 | progress   | Finished subset 173/211, 81.99 percent done
INFO     | 2019-02-27 17:21:02,190 | progress   | Finished subset 174/211, 82.46 percent done
INFO     | 2019-02-27 17:21:07,429 | progress   | Finished subset 175/211, 82.94 percent done
INFO     | 2019-02-27 17:21:08,332 | method     | ***Greedy algorithm step 7***
INFO     | 2019-02-27 17:21:12,282 | progress   | Finished subset 176/211, 83.41 percent done
INFO     | 2019-02-27 17:21:15,436 | progress   | Finished subset 177/211, 83.89 percent done
INFO     | 2019-02-27 17:21:19,096 | progress   | Finished subset 178/211, 84.36 percent done
INFO     | 2019-02-27 17:21:23,725 | progress   | Finished subset 179/211, 84.83 percent done
INFO     | 2019-02-27 17:21:29,518 | progress   | Finished subset 180/211, 85.31 percent done
INFO     | 2019-02-27 17:21:35,664 | progress   | Finished subset 181/211, 85.78 percent done
INFO     | 2019-02-27 17:21:45,868 | progress   | Finished subset 182/211, 86.26 percent done
INFO     | 2019-02-27 17:21:51,793 | progress   | Finished subset 183/211, 86.73 percent done
INFO     | 2019-02-27 17:21:52,601 | method     | ***Greedy algorithm step 8***
INFO     | 2019-02-27 17:21:57,659 | progress   | Finished subset 184/211, 87.20 percent done
INFO     | 2019-02-27 17:21:59,492 | progress   | Finished subset 185/211, 87.68 percent done
INFO     | 2019-02-27 17:22:03,187 | progress   | Finished subset 186/211, 88.15 percent done
INFO     | 2019-02-27 17:22:08,105 | progress   | Finished subset 187/211, 88.63 percent done
INFO     | 2019-02-27 17:22:13,238 | progress   | Finished subset 188/211, 89.10 percent done
INFO     | 2019-02-27 17:22:33,051 | progress   | Finished subset 189/211, 89.57 percent done
INFO     | 2019-02-27 17:22:43,669 | progress   | Finished subset 190/211, 90.05 percent done
INFO     | 2019-02-27 17:22:44,035 | method     | ***Greedy algorithm step 9***
INFO     | 2019-02-27 17:23:10,828 | progress   | Finished subset 191/211, 90.52 percent done
INFO     | 2019-02-27 17:23:35,251 | progress   | Finished subset 192/211, 91.00 percent done
INFO     | 2019-02-27 17:23:39,305 | progress   | Finished subset 193/211, 91.47 percent done
INFO     | 2019-02-27 17:23:45,421 | progress   | Finished subset 194/211, 91.94 percent done
INFO     | 2019-02-27 17:24:14,823 | progress   | Finished subset 195/211, 92.42 percent done
INFO     | 2019-02-27 17:24:34,660 | progress   | Finished subset 196/211, 92.89 percent done
INFO     | 2019-02-27 17:24:34,758 | method     | ***Greedy algorithm step 10***
INFO     | 2019-02-27 17:24:41,737 | progress   | Finished subset 197/211, 93.36 percent done
INFO     | 2019-02-27 17:24:46,972 | progress   | Finished subset 198/211, 93.84 percent done
INFO     | 2019-02-27 17:24:53,490 | progress   | Finished subset 199/211, 94.31 percent done
INFO     | 2019-02-27 17:25:06,589 | progress   | Finished subset 200/211, 94.79 percent done
INFO     | 2019-02-27 17:25:13,003 | progress   | Finished subset 201/211, 95.26 percent done
INFO     | 2019-02-27 17:25:13,237 | method     | ***Greedy algorithm step 11***
INFO     | 2019-02-27 17:25:22,352 | progress   | Finished subset 202/211, 95.73 percent done
INFO     | 2019-02-27 17:25:29,980 | progress   | Finished subset 203/211, 96.21 percent done
INFO     | 2019-02-27 17:25:42,118 | progress   | Finished subset 204/211, 96.68 percent done
INFO     | 2019-02-27 17:25:49,907 | progress   | Finished subset 205/211, 97.16 percent done
INFO     | 2019-02-27 17:25:50,020 | method     | ***Greedy algorithm step 12***
INFO     | 2019-02-27 17:26:01,934 | progress   | Finished subset 206/211, 97.63 percent done
INFO     | 2019-02-27 17:26:20,030 | progress   | Finished subset 207/211, 98.10 percent done
INFO     | 2019-02-27 17:26:31,380 | progress   | Finished subset 208/211, 98.58 percent done
INFO     | 2019-02-27 17:26:31,483 | method     | ***Greedy algorithm step 13***
INFO     | 2019-02-27 17:26:45,980 | progress   | Finished subset 209/211, 99.05 percent done
INFO     | 2019-02-27 17:26:55,269 | progress   | Finished subset 210/211, 99.53 percent done
INFO     | 2019-02-27 17:26:55,270 | method     | ***Greedy algorithm step 14***
INFO     | 2019-02-27 17:27:21,267 | progress   | Finished subset 211/211, 100.00 percent done
INFO     | 2019-02-27 17:27:21,268 | method     | Greedy algorithm finished after 14 steps
INFO     | 2019-02-27 17:27:21,268 | method     | Highest scoring scheme is scheme step_13, with bic score of 42199.329
INFO     | 2019-02-27 17:27:21,269 | reporter   | Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2019-02-27 17:27:21,270 | main       | Total processing time: 0:18:38 (h:m:s)
INFO     | 2019-02-27 17:27:21,270 | main       | Processing complete.
